sa_2022_code,one_person,married_couple,cohabiting_couple,married_couple_with_children,cohabiting_couple_with_children,one_parent_family_father_with_children,one_parent_family_mother_and_children,couple_and_others,couple_with_children_and_others,one_parent_family_father_with_children_and_others,one_parent_family_mother_with_children_and_others,two_or_more_family_units,non_family_households_and_relations,two_or_more_non_related_persons
047145004,35,14,5,35,7,3,11,0,1,2,2,1,2,11
057002012,19,25,3,23,2,1,7,0,2,1,1,1,0,2
057114005,24,14,1,17,0,0,5,1,1,0,1,1,3,1
057060002,26,13,0,15,1,1,7,0,1,0,0,0,0,1
117058001,17,16,1,12,1,1,4,0,2,0,0,0,1,0
057020009,32,6,1,12,7,1,9,2,2,0,1,0,2,2
057012008,15,12,3,20,4,1,12,0,2,0,1,0,0,0
057060003,14,12,2,23,3,1,7,1,2,0,0,0,4,3
077160030,16,19,1,59,3,2,7,0,1,0,0,1,0,4
057093003,22,14,3,22,0,1,10,1,0,0,0,1,3,2
057079004,25,12,4,17,8,2,7,2,0,0,0,1,1,0
177069002,14,26,1,40,3,3,3,0,2,1,1,1,3,0
177046003,49,20,5,31,6,1,16,1,6,0,0,0,3,6
077160037,31,19,4,34,9,2,15,3,2,0,2,0,3,13
077065001,18,9,5,12,3,0,0,0,0,1,1,0,1,3
068007002,29,13,6,7,3,1,2,4,1,0,0,0,10,50
047132084,21,16,4,33,2,1,2,2,1,0,0,3,1,2
047107011,9,21,2,25,2,0,5,2,3,1,0,0,2,0
068022004,11,21,7,21,1,1,8,4,2,0,0,2,7,20
047115006,17,15,3,34,11,1,11,2,1,0,1,1,1,6
228016004,51,18,13,43,11,5,34,2,2,2,3,1,2,19
227032015,19,19,1,26,8,2,19,1,1,1,4,3,0,5
228036007,13,18,5,36,2,3,10,3,4,0,2,2,5,14
067021005,29,16,22,58,10,3,13,4,4,0,0,1,1,12
047077018,15,21,6,67,4,1,12,1,0,0,0,1,1,2
217006002,22,15,4,31,7,3,16,0,0,0,0,0,1,1
228017009,11,7,5,52,8,2,36,0,4,1,0,2,1,8
217089011,21,25,2,30,3,0,6,1,1,0,2,0,0,2
047323033,43,14,5,9,5,1,4,1,1,1,3,0,2,6
217176010,19,4,3,24,3,0,12,3,3,1,1,0,2,7
227032009,19,27,4,23,2,0,8,2,0,0,0,0,2,0
227090004,26,18,1,29,0,0,4,0,2,0,0,1,3,1
047152010/047152013,41,9,2,14,4,3,3,3,3,0,0,0,1,7
047152008,12,8,3,29,4,0,4,1,2,1,0,0,1,5
227077004,43,12,3,22,11,2,21,0,2,0,0,3,1,1
268065007,12,10,2,19,5,0,7,2,5,0,0,4,3,8
268088001,20,8,0,30,10,1,8,5,3,1,6,3,3,2
157049001,45,2,9,6,0,1,5,2,0,0,0,0,2,10
268041008,64,9,1,23,1,2,5,2,2,0,1,1,1,0
268065013,34,14,2,25,8,3,15,3,3,1,6,1,7,11
268015006/268015015,11,5,9,13,4,0,16,2,1,0,3,1,2,13
167029024,29,25,9,35,7,3,20,3,5,0,3,1,4,16
268058016/02,29,3,9,8,1,1,6,5,1,0,1,0,2,13
067211023,32,18,3,15,4,2,6,1,4,0,0,0,3,0
207077008,32,24,4,31,7,2,13,3,1,1,2,1,2,3
207077010,41,15,5,22,5,0,10,2,1,0,0,0,0,4
268041001,19,18,4,34,6,1,5,2,2,0,1,0,3,2
267105002,31,29,4,38,4,3,8,0,3,0,1,2,1,3
